code,n_units,units_with_any_disagreement,units_with_exactly_one_disagreement,prop_with_any_disagreement,prop_with_exactly_one_disagreement,mean_n_disagree
Type of Attack__Attack on political issues/achievements/ideologies_bin,20,11,5,0.55,0.25,0.85
Theme of the Image/Video__Political positioning_bin,20,10,4,0.5,0.2,0.8
Actors__Ordinary people / average citizens / ordinary supporters_bin,20,10,6,0.5,0.3,0.7
People in the Image/Video__Ordinary_people___average_citizens___ordinary_supporters__e_g___individuals_as_well_as_groups_of_citizens_such_as_teachers__pensioners__students__caregivers__etc___bin,20,9,3,0.45,0.15,0.75
Names of Actors__x_bin,20,9,7,0.45,0.35,0.55
"Theme of the Image/Video__Humor / Satire (depictions used to mock, exaggerate, or parody)_bin",20,8,7,0.4,0.35,0.45
Target of Acclaim__PVV_bin,20,7,5,0.35,0.25,0.45
Topics__political_parties_and_politicians_candidate_presentation_politicians_as_the_main_subject_bin,20,7,5,0.35,0.25,0.45
Type of Acclaim__Acclaim/Praise/Recognition of a person/party/organization/institution_bin,20,7,5,0.35,0.25,0.45
Type of Attack__Attack on a person/party/organization/institution_bin,20,7,7,0.35,0.35,0.35
Theme of the Image/Video__Negative imagery/Negative campaigning: The image/video portrays the political opponent in a negative light. This can happen through sharp criticism or with humor._bin,20,6,2,0.3,0.1,0.5
Topics__call_to_vote_get_out_the_vote_call_without_and_with_naming_of_party_s_bin,20,6,4,0.3,0.2,0.4
"Theme of the Image/Video__Positive imagery/Acclaims: The image/video portrays past and future achievements of the party/government in a positive light. This includes drawing a positive balance, saying “thank you” to campaign helpers, or positively discussing political plans/goals._bin",20,5,3,0.25,0.15,0.35
AI Image/Video (AI or not),20,5,4,0.25,0.2,0.3
Actors__PVV: Geert Wilders_bin,20,5,4,0.25,0.2,0.3
Theme of the Image/Video__Symbolic image of person(s)/politician(s)/citizen(s) looking directly into the camera (classic campaign poster image)._bin,20,5,4,0.25,0.2,0.3
Type of Acclaim__Acclaim/Praise/Recognition of political issues/achievements/ideologies_bin,20,5,4,0.25,0.2,0.3
Topics__domestic_and_migration_policy_public_safety_crime_incl_femicide_political_radicalism_religious_fanaticism_terrorism_bin,20,5,5,0.25,0.25,0.25
Target of Acclaim__PVV: Geert Wilders_bin,20,4,2,0.2,0.1,0.3
Topics__economy_and_finance_bin,20,4,2,0.2,0.1,0.3
"Theme of the Image/Video__Events/Landscape & city scenes: Unlike a symbolic image, people/politicians are doing something, moving, or working (e.g., groups such as politicians, refugees, farmers, protesters, police officers, etc.). Alternatively, a city or (natural) landscape is shown where something is happening (e.g., forest dieback, fire, or flooding, nuclear power plants or wind turbines)._bin",20,4,3,0.2,0.15,0.25
Actors__(Members of) minorities_bin,20,4,4,0.2,0.2,0.2
"Actors__Europe/EU/NATO, EU/NATO institutions and bodies & their representatives_bin",20,4,4,0.2,0.2,0.2
Actors__PVV_bin,20,4,4,0.2,0.2,0.2
Topics__labor_and_social_issues_bin,20,4,4,0.2,0.2,0.2
Actors__(Representatives of) non-political institutions_bin,20,3,1,0.15,0.05,0.25
"Actors__Illegal actors, criminals, offenders, terrorists, extremists / extremist groups_bin",20,3,2,0.15,0.1,0.2
Actors__VVD_bin,20,3,2,0.15,0.1,0.2
People in the Image/Video___Members_of__minorities__e_g___refugees__LGBTQ___people_with_disabilities__Jewish_people__women__when_women_are_explicitly_labeled__depicted__or_referred_to_as_a_minority__bin,20,3,2,0.15,0.1,0.2
Topics__europe_bin,20,3,2,0.15,0.1,0.2
Type of Attack__Other form of attack/negative tonality_bin,20,3,2,0.15,0.1,0.2
Actors__(Representatives of) social movements_bin,20,3,3,0.15,0.15,0.15
"Actors__Dutch government, ministries, parliament, and courts (ALSO KABINET SCHOOF)_bin",20,3,3,0.15,0.15,0.15
People in the Image/Video__Representatives_of_non_political_institutions__e_g___police__churches__military__other_public_institutions__bin,20,3,3,0.15,0.15,0.15
"Target of Attack__Europe/EU/NATO, EU/NATO institutions and bodies & their representatives_bin",20,3,3,0.15,0.15,0.15
Theme of the Image/Video__Event announcement/Election call/Candidate presentation_bin,20,3,3,0.15,0.15,0.15
Topics__environmental_and_energy_policy_bin,20,3,3,0.15,0.15,0.15
Actors__D66: Rob Jetten_bin,20,2,1,0.1,0.05,0.15
Actors__D66_bin,20,2,1,0.1,0.05,0.15
People in the Image/Video__D66__Rob_Jetten_bin,20,2,1,0.1,0.05,0.15
People in the Image/Video__Illegal_actors__criminals__offenders__terrorists__extremists___extremist_groups__Actors_who_commit_generally_criminally_relevant_actions_without_being_associated_with_a_specific_party__business___non_terrorist__organization__or__non_extremist__social_movement__please_code_them_accordingly___actors_who_plan_and_carry_out_criminal_activities_in_a_structured_group__actors_who_use_violence_bin,20,2,1,0.1,0.05,0.15
Target of Attack__(Members of) minorities_bin,20,2,1,0.1,0.05,0.15
Theme of the Image/Video__Other imagery_bin,20,2,1,0.1,0.05,0.15
Topics__education_and_culture_bin,20,2,1,0.1,0.05,0.15
Topics__foreign_security_and_defense_policy_bin,20,2,1,0.1,0.05,0.15
Actors__GL-PvdA: Frans Timmermans_bin,20,2,2,0.1,0.1,0.1
Actors__GL-PvdA_bin,20,2,2,0.1,0.1,0.1
People in the Image/Video__Foreign_politicians_from_EU__UN__NATO_bin,20,2,2,0.1,0.1,0.1
People in the Image/Video__GL_PvdA__Frans_Timmermans_bin,20,2,2,0.1,0.1,0.1
People in the Image/Video__PVV__Geert_Wilders_bin,20,2,2,0.1,0.1,0.1
People in the Image/Video__Representatives_of_social_movements__e_g___Fridays_for_Future__Identitarian_Movement__QAnon___MeToo_movement__bin,20,2,2,0.1,0.1,0.1
Target of Attack__GL-PvdA: Frans Timmermans_bin,20,2,2,0.1,0.1,0.1
Target of Attack__GL-PvdA_bin,20,2,2,0.1,0.1,0.1
"Target of Attack__Illegal actors, criminals, offenders, terrorists, extremists / extremist groups_bin",20,2,2,0.1,0.1,0.1
Topics__election_in_general_electoral_system_campaign_events_campaign_dates_campaign_appearances_election_polls_bin,20,2,2,0.1,0.1,0.1
Topics__housing_crisis_bin,20,2,2,0.1,0.1,0.1
Actors__FvD_bin,20,1,0,0.05,0,0.1
Names of Actors__Greta_Thunberg_bin,20,1,0,0.05,0,0.1
People in the Image/Video__Other_VVD_politicians_bin,20,1,0,0.05,0,0.1
Target of Acclaim__(Members of) minorities_bin,20,1,0,0.05,0,0.1
Target of Acclaim__Other parties from the Netherlands_bin,20,1,0,0.05,0,0.1
Theme of the Image/Video__Image from a campaign event_bin,20,1,0,0.05,0,0.1
Actors__CDA: Hanneke Steen_bin,20,1,1,0.05,0.05,0.05
Actors__CDA_bin,20,1,1,0.05,0.05,0.05
Actors__CU_bin,20,1,1,0.05,0.05,0.05
Actors__Celebrities and/or opinion leaders_bin,20,1,1,0.05,0.05,0.05
Actors__Other actors_bin,20,1,1,0.05,0.05,0.05
Actors__PvdD: Esther Ouwehand_bin,20,1,1,0.05,0.05,0.05
Actors__PvdD_bin,20,1,1,0.05,0.05,0.05
Actors__SP_bin,20,1,1,0.05,0.05,0.05
Names of Actors__Leeuwinga_bin,20,1,1,0.05,0.05,0.05
Names of Actors__Lezaire_bin,20,1,1,0.05,0.05,0.05
Names of Actors__Muslim_bin,20,1,1,0.05,0.05,0.05
Names of Actors__Nooter_bin,20,1,1,0.05,0.05,0.05
Names of Actors__Peelen_bin,20,1,1,0.05,0.05,0.05
Names of Actors__Plak_Schouten_bin,20,1,1,0.05,0.05,0.05
Names of Actors__Rood_de_Wit_bin,20,1,1,0.05,0.05,0.05
Names of Actors__Ruijter_bin,20,1,1,0.05,0.05,0.05
Names of Actors__Thunberg_bin,20,1,1,0.05,0.05,0.05
